"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"3295","Ciudades de papel","John Green","Nube De Tinta",NA,3.79,937248,368,"Paperback","https://www.bookdepository.com/es/Ciudades-de-papel-John-Green/9788415594284?ref=grid-view"
"3296","Eclipse","Stephenie Meyer","PUNTO DE LECTURA",NA,3.7,1444766,637,"Paperback","https://www.bookdepository.com/es/Eclipse-Stephenie-Meyer/9781603960229?ref=grid-view"
"3297","Virtual Hero","Ruben Doblas (El Rubius)","Planeta Publishing",NA,3.72,971,64,"Paperback","https://www.bookdepository.com/es/Virtual-Hero-Ruben-Doblas-El-Rubius/9786070730634?ref=grid-view"
"3298","El Ladron del Rayo","Rick Riordan","Salamandra",NA,4.26,2028864,285,"Paperback","https://www.bookdepository.com/es/El-Ladron-del-Rayo-Rick-Riordan/9788498382365?ref=grid-view"
"3299","Guinness World Records","Craig Glenday","PLANETA",NA,4.18,686,287,"Hardback","https://www.bookdepository.com/es/Guinness-World-Records-Craig-Glenday/9788408008651?ref=grid-view"
"3300","Nuevo Prisma A1: Exercises Book","Angeles Casado","Editorial Edinumen",NA,0,0,124,"Mixed media product","https://www.bookdepository.com/es/Nuevo-Prisma-A1-Exercises-Book-Angeles-Casado/9788498486018?ref=grid-view"
"3301","Webster's Spanish-English Dictionary for Students","Merriam-Webster","Federal Street Press",NA,3.75,59,364,"Paperback","https://www.bookdepository.com/es/Websters-Spanish-English-Dictionary-for-Students-Merriam-Webster/9781596950962?ref=grid-view"
"3302","El Capitan Calzoncillos Y La Furia de la Supermujer Macroelastica (Captain Underpants #5), Volume 5","Dav Pilkey","Scholastic en Espanol",NA,4.18,12544,176,"Paperback","https://www.bookdepository.com/es/El-Capitan-Calzoncillos-Y-La-Furia-de-la-Supermujer-Macroelastica-Captain-Underpants-5-5-Dav-Pilkey/9780439538206?ref=grid-view"
"3303","Espacio Joven A1","David Isa De Los Santos","Editorial Edinumen",NA,0,0,128,"CD-ROM","https://www.bookdepository.com/es/Espacio-Joven-A1-David-Isa-De-Los-Santos/9788498483161?ref=grid-view"
"3304","Cronicas de la torre I","Laura Gallego","Ediciones SM",NA,4.07,7898,271,"Paperback","https://www.bookdepository.com/es/Cronicas-de-la-torre-I-Laura-Gallego/9788467539677?ref=grid-view"
"3305","Sinsajo","Suzanne Collins","Lectorum Publications",NA,4.04,2380121,422,"Paperback","https://www.bookdepository.com/es/Sinsajo-Suzanne-Collins/9788427200388?ref=grid-view"
"3306","Matilda","Roald Dahl","ALFAGUARA INFANTIL",NA,4.32,662701,264,"Paperback","https://www.bookdepository.com/es/Matilda-Roald-Dahl/9788420464541?ref=grid-view"
"3307","Cuentos macabros / Macabre Tales","Edgar Allan Poe","Luis Vives Editorial",NA,4.34,1849,212,"Hardback","https://www.bookdepository.com/es/Cuentos-macabros-Macabre-Tales-Edgar-Allan-Poe/9788426381545?ref=grid-view"
"3308","Buscando a Alaska","John Green","DEBOLSILLO",NA,4.02,1129772,299,"Paperback","https://www.bookdepository.com/es/Buscando-Alaska-John-Green/9788466335355?ref=grid-view"
"3309","La Piramide Roja","Rick Riordan","Vintage Espanol",NA,4.08,327493,480,"Paperback","https://www.bookdepository.com/es/La-Piramide-Roja-Rick-Riordan/9780307745224?ref=grid-view"
